"INSTN","ADM_RATE","SAT_AVG","DEG_MS","PERC_WHITE","PERC_PT","NET_PRICE","NET_PRICE_30k","FAC_SAL","PCT_PELL","SIX_YR_CP","LOAN_DEF","PELL_DEBT_MDN","NOPELL_DEBT_MDN","FAM_INC"
"Birmingham Southern College","0.5306","1167","0.0405","0.7912","0.0067","21562","18551","7078","0.1992","0.6108","0.029","21500","18764.5","88553.8"
"Judson College","0.6292","1031","0","0.7802","0.3324","13152","12695","5545","0.5635","0.4118","0.091","15080","5500","25118.184874"
"Stillman College","0.5659","831","0","0.0581","0.0878","16988","15781","4770","0.6818","0.2267","0.16","14250","9500","27171.945545"
"Lyon College","0.5912","1120","0.065","0.7481","0.003","17003","13631","6277","0.4262","0.3796","0.067","13500","11000","61213.07381"
"Hendrix College","0.8238","1270","0.0138","0.7782","0.0031","25503","21841","7401","0.2035","0.6845","0.038","23000","15500","98707.913978"
"Ouachita Baptist University","0.6845","1120","0.0207","0.8498","0.0177","19251","14948","6227","0.2751","0.6478","0.077","15670","15750","76966.765751"
"San Diego Christian College","0.5173","933","0","0.4641","0.1901","26521","24011","6103","0.5436","0.3016","0.157","18292","11967","51084.806691"
"Claremont McKenna College","0.1096","1408","0.0188","0.4226","0.0008","24298","8634","13270","0.1153","0.922","0","10644.5","13000","105450.29279"
"Harvey Mudd College","0.1296","1484","0.0489","0.383","0","29865","10165","12984","0.1269","0.9179","0.007","27000","21234","115901.12565"
"Occidental College","0.4487","1304","0.0179","0.4887","0.0095","28630","15934","10885","0.202","0.875","0","22491.5","20644","96036.731369"
"Pacific Union College","0.4522","984","0.0053","0.2566","0.1015","22661","18454","6092","0.4665","0.4431","0.061","23334","13917","67664.884457"
"Pomona College","0.103","1435","0.0816","0.3976","0","14908","6993","12644","0.1982","0.9434","0.017","6850.5","15000","67360.66426"
"Scripps College","0.279","1362","0.0123","0.4835","0.0031","28126","17778","11220","0.108","0.9158","0.009","13000","12500","103902.01754"
"Simpson University","0.5152","1001","0.0065","0.5954","0.0334","19739","16369","6205","0.5562","0.4931","0.042","16666","14767.5","48715.878882"
"Thomas Aquinas College","0.7513","1280","0","0.6976","0","22199","16080","9366","0.3545","0.8851","0.013","17000","16500","99704.536913"
"Westmont College","0.8122","1179","0.0031","0.6366","0.0023","30787","19182","7058","0.2069","0.768","0.014","25000","15500","109471.92979"
"Whittier College","0.6262","1057","0.0183","0.3135","0.017","36005","10918","8907","0.369","0.6564","0.029","24250","19500","82936.99328"
"Eckerd College","0.7172","1134","0.002","0.7587","0.0784","31097","25610","6989","0.2165","0.6468","0.071","23500.5","17750","93265.622909"
"Berry College","0.5537","1179","0.0239","0.8109","0.0072","21181","17218","7637","0.2451","0.6362","0.033","19000","15000","89119.4025"
"Morehouse College","0.7596","978","0.0726","0.0014","0.0448","29796","26680","7247","0.4931","0.5087","0.162","24500","19000","61413.066417"
"Oglethorpe University","0.7847","1140","0.0158","0.336","0.0746","19936","17243","6568","0.394","0.5322","0.085","17250","15500","59068.449912"
"Shorter University","0.6289","969","0.0054","0.6186","0.1048","18864","17272","5144","0.4743","0.4625","0.102","24135","15750","46327.321698"
"Spelman College","0.4833","1015","0.039","0.0005","0.0243","34232","31122","7678","0.4815","0.7567","0.077","25310","25000","60557.152709"
"Illinois Wesleyan University","0.6191","1249","0.0259","0.7132","0.0071","27169","19107","8084","0.1939","0.8298","0.009","27750","23250","113055.82742"
"Monmouth College","0.624","1070","0.0149","0.6257","0.006","14528","9753","6842","0.4437","0.5767","0.087","20125","18233.5","66896.642405"
"Wheaton College","0.7052","1314","0.0221","0.756","0.0155","25260","17752","8998","0.199","0.8903","0.003","22500","19500","105146.15541"
"DePauw University","0.6476","1208","0.022","0.7052","0.004","24556","14489","9424","0.1948","0.8173","0.028","26239","21500","107446.38462"
"Goshen College","0.6587","1059","0.0299","0.6548","0.0556","17533","14342","5482","0.323","0.6639","0.023","15450","15000","60865.113456"
"Hanover College","0.6128","1103","0.0082","0.8172","0.0018","20588","15261","7794","0.3057","0.6724","0.042","26000","26500","79443.608137"
"Holy Cross College","0.906","984","0","0.6544","0.0643","22685","19604","4331","0.3272","0.2742","0.053","12000","9000","82306.988462"
"Saint Mary's College","0.8037","1125","0.0361","0.7819","0.0064","25332","17366","6941","0.2205","0.7908","0.008","26815","24250","105716.46737"
"Wabash College","0.6143","1145","0.083","0.7356","0","20373","13656","8327","0.2695","0.7347","0.034","22926.5","23000","95103.06366"
"Central College","0.6428","1068","0.0181","0.8735","0.0139","20618","15907","7059","0.2495","0.6697","0.025","26609","23000","83613.988077"
"Coe College","0.6335","1126","0.018","0.7442","0.0127","20496","17215","7204","0.2941","0.6677","0.013","25000","21500","77097.251089"
"Cornell College","0.7045","1177","0.0267","0.6618","0.0039","24559","19560","7254","0.3361","0.6806","0.023","27000","23250","95737.748858"
"Grinnell College","0.2491","1402","0.0224","0.5628","0.0018","23192","10865","9177","0.222","0.8568","0.034","11750","12603.5","90673.417204"
"Luther College","0.6689","1179","0.0362","0.8395","0.0048","24974","17986","7618","0.1866","0.7747","0.011","30000","24678","100346.80268"
"Simpson College","0.8946","1104","0.0192","0.8819","0.1093","22120","17160","6536","0.2711","0.6769","0.047","26250","20000","80312.121172"
"Wartburg College","0.7382","1105","0.0371","0.7722","0.016","22896","17448","6719","0.221","0.6973","0.058","26500","22462","90808.496285"
"Centre College","0.7117","1279","0.0334","0.7779","0.003","23062","16263","8068","0.1449","0.8645","0.019","26000","24518","108125.81818"
"Georgetown College","0.6769","1045","0.0044","0.7908","0.0697","19210","16266","6285","0.3687","0.5661","0.063","20500","18750","69903.407197"
"University of Pikeville","1","965","0.0208","0.8095","0.0249","17342","15981","5879","0.4474","0.3514","0.13","12000","9500","35152.239286"
"Centenary College of Louisiana","0.6707","1114","0.0226","0.6692","0.0154","25112","22640","6228","0.3454","0.5468","0.077","21505","15500","69373.120623"
"Dillard University","0.4761","888","0.0052","0.0008","0.0439","17715","17587","6262","0.7725","0.3832","0.149","26938","19500","33004.185853"
"Xavier University of Louisiana","0.6575","1050","0.0196","0.0358","0.0448","17222","15678","8372","0.5329","0.3929","0.085","19000","11250","46682.824981"
"Colby College","0.2252","1363","0.0285","0.616","0","25530","9438","11758","0.1132","0.9374","0.026","14320","19701","130447.58824"
"McDaniel College","0.7982","1074","0.0112","0.6956","0.0074","20096","10450","7185","0.3107","0.7024","0.024","23250","18750","83200.49187"
"Amherst College","0.1412","1451","0.0552","0.4212","0","18848","3953","12444","0.2254","0.9505","0.024","6678.5","13500","76877.732432"
"Eastern Nazarene College","0.6129","978","0.0034","0.5253","0.0077","18677","15150","5700","0.4981","0.6538","0.062","17025","15150","51723.258883"
"Gordon College","0.9323","1112","0.0393","0.7248","0.0222","27418","22031","6869","0.22","0.6929","0.021","27000","22250","96159.030645"
"Pine Manor College","0.7094","775","0","0.0469","0.0223","22810","20009","6174","0.5236","0.2929","0.127","9500","5500","32480.9"
"Wellesley College","0.2985","1369","0.033","0.3959","0.0043","25429","9349","11712","0.1937","0.9319","0.017","7000","10200","83918.195652"
"Williams College","0.1761","1442","0.0498","0.5357","0","23924","3633","8923","0.1805","0.956","0.017","8216.5","16109","95346.889908"
"Albion College","0.798","1104","0.0076","0.7669","0.0044","22232","16225","7346","0.2737","0.6544","0.035","26416.5","21500","78858.315372"
"Alma College","0.6757","1110","0.0101","0.8283","0.0119","22080","16257","7319","0.3037","0.6184","0.023","25486.5","21500","76933.673406"
"Calvin College","0.7427","1202","0.0025","0.7368","0.0235","24177","16429","8258","0.226","0.7359","0.026","24000","19550","91973.778219"
"Hope College","0.7204","1205","0.0054","0.8374","0.0197","23994","14149","8053","0.2055","0.7621","0.021","26002.5","23250","104028.06024"
"Bethany Lutheran College","0.853","1074","0.0421","0.8801","0.0285","16294","11021","6495","0.3936","0.494","0.044","19000","14000","71053.7"
"Carleton College","0.2065","1400","0.0521","0.6336","0","28892","11874","11575","0.1313","0.9451","0.01","19992","18000","93496.934959"
"Macalester College","0.3902","1358","0.0352","0.6552","0.0102","24934","13789","9658","0.1655","0.8954","0.003","22664","20500","100087.17276"
"College of Saint Benedict","0.7414","1118","0.0125","0.7916","0.0082","23305","15659","8226","0.2401","0.8475","0.009","23250","23250","101433.29884"
"Saint Johns University","0.7408","1148","0.0249","0.8042","0.0172","22530","14659","8130","0.1923","0.7679","0.009","25876.5","21500","111493.95599"
"St Olaf College","0.3597","1282","0.0635","0.7454","0.0027","23452","11772","8685","0.1496","0.8728","0.007","26981.5","25000","100793.27036"
"Millsaps College","0.5264","1163","0.0347","0.7358","0.0106","21209","13151","7563","0.2135","0.6619","0.025","19250","20000","91106.469256"
"Rust College","0.4149","780","0.0203","0.0047","0.0713","9777","9327","4757","0.8941","0.3478","0.213","11024","12500","19206.542254"
"Tougaloo College","0.3912","844","0.0276","0.0047","0.0537","13117","12795","4683","0.9333","0.4156","0.157","23000","13000","23888.31134"
"Westminster College","0.6367","1084","0.0195","0.6543","0.0149","20030","16434","5751","0.3074","0.6559","0.058","19000","19000","65052.532258"
"William Jewell College","0.4938","1160","0.004","0.7806","0.0256","20788","19349","6486","0.2733","0.617","0.045","26250","20250","86701.334746"
"Doane University-Arts & Sciences","0.7659","1064","0.0426","0.8177","0.0047","22206","19063","6522","0.3089","0.6149","0.041","18339","16560","63488.062893"
"Nebraska Wesleyan University","0.788","1121","0.0169","0.8456","0.1651","21990","17134","6458","0.2729","0.6234","0.021","18537","17200","74611.561947"
"Bloomfield College","0.597","855","0.0208","0.0965","0.095","18910","17032","8029","0.6978","0.3121","0.136","16750","12500","34047.462857"
"Barnard College","0.1962","1357","0.0289","0.5315","0.0118","25680","9039","12543","0.1823","0.9064","0.006","18250","15000","91044.759425"
"Colgate University","0.2736","1374","0.0219","0.6687","0","22687","13472","11422","0.1228","0.896","0.01","13754","15500","102780.08097"
"Houghton College","0.9457","1110","0.0076","0.7771","0.0247","21253","19302","5807","0.443","0.727","0.01","21296","19500","64301.625698"
"Marymount Manhattan College","0.8381","1038","0","0.5653","0.0933","34538","29228","8379","0.2578","0.4189","0.067","17583","16000","84695.715137"
"Skidmore College","0.365","1239","0.0164","0.6365","0.0069","25413","6850","9218","0.1375","0.8597","0.019","16086","19000","113843.62804"
"Vassar College","0.2573","1405","0.0262","0.5928","0.0029","21858","8725","11395","0.2375","0.9058","0.003","10925","17652","86361.851182"
"Wells College","0.627","1011","0.0225","0.6241","0.0182","20259","15264","7079","0.4691","0.4621","0.096","21500","19500","58700.088889"
"Davidson College","0.2213","1355","0.0641","0.6796","0","19981","7574","12080","0.1458","0.9343","0.022","13431","16335","101805.66482"
"Johnson C Smith University","0.4563","796","0.004","0.0036","0.0357","19918","18016","6239","0.7033","0.4574","0.194","20867.5","11000","35128.21768"
"William Peace University","0.5019","868","0","0.4509","0.1464","29711","27532","5710","0.6249","0.4264","0.111","14020.5","12956","48268.238965"
"Salem College","0.6224","1119","0.0243","0.5456","0.1735","16350","13432","6137","0.5761","0.6028","0.051","22361.5","15222","45116.128846"
"Warren Wilson College","0.8381","1120","0","0.7583","0.016","22209","14736","6178","0.4005","0.5249","0.053","15000","10712","62021.226221"
"Hiram College","0.5762","1071","0.0153","0.6811","0.1486","23207","20003","5487","0.4437","0.6041","0.08","24872","20069.5","54652.219895"
"Kenyon College","0.2563","1335","0.0232","0.7303","0","29516","7329","8573","0.0956","0.8739","0.015","19000","15580.5","122673.24148"
"Oberlin College","0.2878","1357","0.0304","0.6813","0.0058","32061","11843","10558","0.0956","0.8755","0.013","24087","24000","132824.87816"
"The College of Wooster","0.5529","1237","0.0334","0.6876","0.0049","24131","14555","8310","0.1922","0.8184","0.011","25137","19500","101369.1014"
"Linfield College-McMinnville Campus","0.8391","1061","0.0404","0.5995","0.0168","25278","20144","6888","0.2674","0.6286","0.019","22710","20468","78386.037007"
"Reed College","0.3499","1383","0.0224","0.6046","0.0057","23267","10457","10412","0.182","0.8174","0.033","14500","13500","94533.42623"
"Willamette University","0.7794","1228","0.0256","0.6171","0.0104","29770","22710","9507","0.1985","0.7948","0.017","23750","19500","96816.316527"
"Bryn Athyn College of the New Church","0.4214","952","0","0.6176","0.0331","12703","7373","7255","0.4396","0.6154","0.085","10250.5","10539","54503.574074"
"Bryn Mawr College","0.3851","1346","0.0901","0.3565","0.0104","28732","13865","10588","0.1613","0.8508","0.016","25847.5","21500","93933.398305"
"Bucknell University","0.2478","1315","0.0109","0.7675","0.0026","36834","24576","10761","0.1091","0.8989","0.021","26315","26000","129447.02789"
"Haverford College","0.2457","1433","0.0638","0.607","0","23336","4388","10132","0.1633","0.8978","0.032","8511","15070.5","101553.85441"
"Lafayette College","0.3025","1294","0.0325","0.6655","0.0056","32047","12156","11288","0.0983","0.8961","0.009","20381","26798","149588.60682"
"Lycoming College","0.7122","1034","0.0227","0.6976","0.0048","17819","11747","7491","0.3274","0.6371","0.042","27000","22750","73440.871573"
"Moravian College","0.7457","1006","0.0263","0.7167","0.0459","27898","22531","7419","0.3019","0.686","0.042","26000","20250","83482.912738"
"Saint Vincent College","0.6981","1059","0.0395","0.8471","0.0107","19521","14455","7401","0.2903","0.6883","0.03","25002.5","22812","89266.592308"
"Swarthmore College","0.1248","1431","0.0403","0.4221","0","21858","7864","12458","0.1537","0.9391","0","14500.5","19500","84985.319231"
"Westminster College","0.9404","1028","0.0212","0.7724","0.0163","20615","15518","6612","0.3227","0.7051","0.027","27000","23250","77821.25"
"Claflin University","0.4133","815","0.0152","0.0108","0.0201","21426","21027","6410","0.7515","0.4206","0.117","23750","20688","35208.495032"
"Erskine College","0.6428","993","0.0225","0.6748","0.0049","17802","14450","5568","0.4257","0.6209","0.049","17375","9500","73225.437326"
"Presbyterian College","0.6231","1082","0.0361","0.7747","0.0135","18963","12646","7637","0.2391","0.6951","0.05","20125","19452","77608.847118"
"Wofford College","0.7181","1170","0.0398","0.8094","0.0048","22964","16496","8046","0.1888","0.8082","0.036","22000","19903","105349.99443"
"Fisk University","0.8093","937","0.0114","0.0074","0.0447","15975","17995","5768","0.5726","0.5281","0.08","20500","15000","42875.668281"
"Lane College","0.5454","758","0.0165","0.0145","0.0182","13637","13573","4960","0.9247","0.2431","0.122","16692","5500","21073.593567"
"Maryville College","0.6678","1052","0.0144","0.7788","0.0102","16138","12014","6559","0.4584","0.5263","0.059","18132","14125","59502.334302"
"Rhodes College","0.4687","1306","0.0043","0.744","0.002","27322","17996","8183","0.1374","0.8267","0.021","25375","21500","126241.89961"
"Austin College","0.541","1165","0.0404","0.5255","0.0065","22565","17432","7047","0.2723","0.7312","0.053","23250","20477.5","79684.706861"
"Huston-Tillotson University","0.4742","786","0.0255","0.0517","0.0465","17545","16045","5440","0.6595","0.2218","0.225","17993","8750","35371.683761"
"Southwestern University","0.4422","1168","0.0201","0.6158","0.0099","22573","16864","7795","0.2653","0.7493","0.04","25754","20000","86572.015267"
"Middlebury College","0.1744","1383","0.019","0.6479","0.0056","23303","3003","10741","0.1334","0.9436","0.015","12866","15850","87785.760073"
"Bridgewater College","0.4927","1034","0.0086","0.7345","0.0033","19722","16530","6430","0.2717","0.5312","0.046","23000","19500","86391.352052"
"Emory & Henry College","0.7637","980","0.0228","0.7307","0.0069","20166","15863","6243","0.3854","0.5406","0.068","18250","18000","64530.444056"
"Eastern Mennonite University","0.6171","1009","0.0111","0.7094","0.0896","21344","20892","6003","0.3297","0.6101","0.029","15405.5","14845","67052.206169"
"Hampden-Sydney College","0.5479","1112","0.0188","0.8086","0.0009","27154","19979","8091","0.1982","0.6336","0.039","25922","19500","110845.11557"
"Hollins University","0.6099","1124","0.014","0.6397","0.0206","17408","14987","6796","0.4597","0.5707","0.042","19500","18565","57137.344262"
"Randolph-Macon College","0.6637","1098","0.0201","0.7829","0.0157","25266","19357","8001","0.2389","0.5773","0.044","26700","21612.5","101715.99845"
"Randolph College","0.8053","1014","0.0234","0.6767","0.006","24215","23296","7731","0.2904","0.6889","0.054","21230","15250","81633.422961"
"University of Richmond","0.3111","1337","0.0139","0.5941","0.0769","23329","7569","11913","0.1817","0.8769","0.021","19608","19500","94688.377203"
"Roanoke College","0.7246","1092","0.0276","0.82","0.0184","27985","23674","7447","0.2546","0.6607","0.051","26856","20625","100572.43086"
"Southern Virginia University","0.3829","1041","0","0.7995","0.022","20053","18247","6203","0.5219","0.3012","0.086","12000","5500","67314.799564"
"Sweet Briar College","0.9495","1098","0.0076","0.7076","0.0169","24606","21574","6905","0.2836","0.6369","0.012","16000","12000","63366.343558"
"Virginia Wesleyan College","0.9254","982","0.0255","0.5392","0.0514","24141","25815","7700","0.4031","0.4732","0.073","20000","14000","66444.890361"
"Washington and Lee University","0.2388","1395","0.0391","0.8227","0.0005","24472","-134","12611","0.0952","0.9087","0.011","17666","20250","138540.22302"
"Whitman College","0.4272","1314","0.0561","0.7249","0.0111","36433","25609","8832","0.1008","0.8734","0.004","17500","14750","114423.6935"
"Bethany College","0.7021","907","0.0246","0.5114","0.0057","17927","14155","5800","0.4773","0.4094","0.162","19865","14375","63127.224576"
"Carthage College","0.7024","1145","0.0311","0.7498","0.0793","35473","24840","8052","0.2825","0.5881","0.052","25052.5","19500","93253.185944"
"Northland College","0.5716","1118","0.0484","0.8282","0.0097","18746","13277","6407","0.3818","0.5821","0.046","21375","15000","69329.575563"
"Ripon College","0.6612","1105","0.0051","0.8348","0.0013","17824","13770","6914","0.3821","0.6895","0.032","28510","21000","78601.837696"
"Saint Norbert College","0.7769","1125","0.0037","0.8869","0.0102","22907","15654","6857","0.2221","0.733","0.012","26200","21187.5","95032.415054"
"Wisconsin Lutheran College","0.9183","1101","0.0338","0.8314","0.0833","19263","14512","6104","0.3147","0.6238","0.033","18750","19250","75633.945946"
"Soka University of America","0.4612","1229","0","0.2037","0","5782","4984","10936","0.292","0.8571","0.022","19250","21930.5","55530.393939"
"Ave Maria University","0.4277","1098","0.0529","0.607","0.0141","18072","14398","6995","0.2821","0.5139","0.128","18000","11000","93274.317526"
"The King's College","0.3958","1181","0","0.6224","0.0184","28378","25177","8950","0.3429","0.4466","0.08","14750","15750","79942.229167"
